protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
DHX35,0.36,0.02
DHX36,0.56,0.18
DHX37,0.44,0.12
DHX38,1.0,1.0
DHX40,0.48,0.12
DHX57,0.28,0.06
DHX58,0.56,0.38
DHX8,0.86,0.48
DHX9,1.0,0.0
DIABLO,1.0,0.9
DIAPH1,0.82,0.62
DIAPH2,0.26,0.14
DIAPH3,0.6,0.18
DICER1,0.96,0.82
DIDO1,0.66,0.32
DIEXF,0.24,0.08
DIMT1,0.88,0.04
DIO2,0.6,0.32
DIO3,0.06,0.02
DIP2A,0.52,0.24
DIP2B,0.6,0.1
DIP2C,1.0,1.0
DIRAS1,0.14,0.0
DIRAS2,0.12,0.02
DIRAS3,0.4,0.18
DIS3,0.78,0.18
DIS3L,0.6,0.3
DIS3L2,0.24,0.14
DISC1,1.0,0.52
DISP1,0.06,0.0
DIXDC1,0.14,0.14
DKC1,0.92,0.0
DKFZP564B147,0.0,0.04
DKFZp434D1428,0.06,0.02
DKFZp434K0435,0.04,0.0
DKFZp547P1613,0.02,0.0
DKFZp564A2282,0.28,0.0
DKFZp586J0119,0.2,0.0
DKFZp586M1819,0.0,0.02
DKFZp686G04235,0.02,0.0
DKFZp686J1895,0.04,0.0
DKFZp686L04275,0.04,0.0
DKFZp686L0869,0.44,0.0
DKFZp686P04237,0.04,0.0
DKFZp686P15220,0.06,0.06
DKFZp686P16143,0.04,0.0
DKFZp779K0533,0.02,0.0
DKFZp781I1140,0.06,0.04
DKFZp781L0540,0.06,0.0
DKK1,0.7,0.48
DKK2,0.16,0.06
DKK3,0.12,0.08
DKKL1,0.2,0.06
DLAT,0.8,0.18
DLC1,0.42,0.3
DLD,0.84,0.1
DLEU1,0.68,0.44
DLG1,1.0,0.78
DLG2,0.6,0.22
DLG3,0.98,0.68
DLG4,1.0,0.8
DLG5,0.82,0.36
DLGAP1,0.84,0.7
DLGAP2,0.32,0.12
DLGAP3,0.56,0.14
DLGAP4,0.56,0.24
DLGAP5,0.36,0.2
DLK1,0.06,0.02
DLK2,0.34,0.22
DLL1,0.4,0.26
DLL4,0.02,0.02
DLST,0.94,0.34
DLX1,0.04,0.0
DLX2,0.3,0.28
DLX3,0.1,0.08
DLX4,0.54,0.08
DLX5,0.18,0.22
DLX6,0.12,0.0
DMAP1,0.98,0.78
DMBT1,0.18,0.1
DMBX1,0.04,0.0
DMC1,0.56,0.42
DMD,0.92,0.62
DMKN,0.16,0.0
DMP1,0.02,0.04
DMPK,0.66,0.32
DMRT1,0.1,0.04
DMRT2,0.1,0.0
DMRTA1,0.14,0.0
DMRTB1,0.7,0.46
DMRTC2,0.1,0.08
DMTF1,0.18,0.02
DMTN,0.4,0.16
DMWD,0.76,0.44
DMXL1,0.06,0.0
DMXL2,0.08,0.12
DNA2,0.36,0.1
DNAAF1,0.04,0.0
DNAAF2,0.14,0.0
DNAAF3,0.04,0.0
DNAH1,0.04,0.0
DNAH14,0.04,0.0
DNAH2,0.08,0.0
DNAH3,0.02,0.0
DNAH5,0.12,0.04
DNAH6,0.02,0.0
DNAH7,0.14,0.06
DNAH9,0.04,0.0
DNAJA1,1.0,0.1
DNAJA2,0.94,0.08
DNAJA3,1.0,1.0
DNAJA4,0.42,0.1
DNAJB1,0.92,0.44
DNAJB11,0.96,0.62
DNAJB12,0.5,0.02
DNAJB14,0.16,0.06
DNAJB2,0.72,0.14
DNAJB3,0.4,0.0
DNAJB4,0.64,0.36
DNAJB5,0.34,0.12
DNAJB6,0.84,0.6
DNAJB7,0.02,0.02
DNAJB8,0.12,0.14
DNAJB9,0.58,0.3
DNAJC1,0.18,0.18
DNAJC10,0.76,0.06
DNAJC11,0.28,0.08
DNAJC12,0.1,0.02
DNAJC13,0.4,0.12
DNAJC14,0.14,0.08
DNAJC16,0.08,0.0
DNAJC17,0.08,0.0
DNAJC18,0.04,0.0
DNAJC19,0.34,0.14
DNAJC2,0.28,0.12
DNAJC21,0.3,0.06
DNAJC22,0.06,0.0
DNAJC25-GNG10,0.02,0.0
DNAJC28,0.08,0.12
DNAJC3,0.54,0.26
DNAJC30,0.06,0.08
DNAJC4,0.12,0.0
DNAJC5,0.5,0.08
DNAJC6,0.16,0.02
DNAJC7,0.94,0.32
DNAJC8,0.66,0.28
DNAJC9,1.0,1.0
DNAL4,0.2,0.2
DNALI1,0.2,0.12
DNASE1,0.16,0.02
DNASE1L2,0.06,0.0
DNASE2,0.24,0.02
DNASE2B,0.06,0.0
DNER,0.1,0.08
DNHD1,0.14,0.02
DNLZ,0.52,0.3
DNM1,0.98,0.68
DNM1L,0.94,0.24
DNM2,1.0,0.4
DNM3,0.46,0.16
DNMBP,0.66,0.5
DNMT1,1.0,0.84
DNMT3A,1.0,0.96
DNMT3B,0.98,0.9
DNMT3L,0.82,0.74
DNPEP,0.5,0.38
DNPH1,0.28,0.06
DNTT,0.58,0.26
DNTTIP1,0.54,0.26
DNTTIP2,0.8,0.28
DOC2A,0.22,0.16
DOCK1,0.86,0.54
DOCK10,0.26,0.1
DOCK11,0.04,0.0
DOCK2,0.66,0.54
DOCK3,0.44,0.14
DOCK4,0.6,0.12
DOCK5,0.06,0.08
DOCK6,0.2,0.0
DOCK7,0.64,0.22
DOCK8,0.28,0.06
DOCK9,0.38,0.26
DOHH,0.18,0.08
DOK1,0.98,0.7
DOK2,0.86,0.32
DOK3,0.18,0.06
DOK4,0.28,0.24
DOK5,0.44,0.26
DOK6,0.18,0.04
DOLK,0.02,0.02
DONSON,0.06,0.0
DOPEY1,0.06,0.0
DOPEY2,0.1,0.0
DOT1L,0.8,0.72
DPAGT1,0.18,0.02
DPCD,0.48,0.0
DPCR1,0.04,0.0
DPEP1,0.16,0.14
DPEP2,0.06,0.0
DPEP3,0.0,0.02
DPF1,0.2,0.14
DPF2,0.94,0.72
DPF3,0.54,0.16
DPH1,0.64,0.12
DPH2,0.32,0.06
DPH3,0.06,0.1
DPH5,1.0,1.0
DPH6,0.16,0.02
DPH7,0.16,0.0
DPM1,0.66,0.08
DPM2,0.1,0.04
DPM3,0.02,0.04
DPP10,0.24,0.08
DPP3,0.62,0.24
DPP4,0.72,0.64
DPP6,0.16,0.04
DPP7,0.48,0.12
DPP8,0.56,0.24
DPP9,0.56,0.18
DPPA2,0.82,0.8
DPPA4,0.6,0.56
DPT,0.1,0.02
DPY19L1,0.2,0.0
DPY19L2,0.08,0.0
DPY19L4,0.22,0.0
DPY30,0.76,0.6
DPYD,0.16,0.0
DPYS,0.0,0.02
DPYSL2,0.58,0.32
DPYSL3,0.48,0.18
DPYSL4,0.36,0.38
DPYSL5,0.18,0.1
DR1,0.84,0.6
DRAM1,0.18,0.04
DRAM2,0.02,0.0
DRAP1,0.94,0.84
DRC1,0.02,0.0
DRD1,0.48,0.32
DRD2,0.74,0.24
DRD3,0.46,0.34
DRD4,0.48,0.22
DRD5,0.24,0.16
DRG1,0.88,0.26
DRG2,0.54,0.12
DROSHA,0.74,0.44
DRP2,0.22,0.08
DSC1,0.58,0.28
DSC2,0.36,0.18
DSC3,0.3,0.08
DSCAM,0.04,0.0
DSCAML1,0.1,0.12
DSCC1,0.44,0.24
DSCR3,0.52,0.12
DSE,0.08,0.04
DSEL,0.04,0.0
DSG1,0.72,0.32
DSG2,0.68,0.56
DSG3,0.16,0.2
DSN1,0.78,0.82
DSP,1.0,0.5
DST,0.96,0.52
DSTN,0.88,0.26
DSTNP4,0.06,0.0
DSTYK,0.34,0.24
DTD1,0.24,0.06
DTD2,0.08,0.0
DTL,0.98,0.68
DTNA,0.68,0.5
DTNB,0.58,0.44
DTNBP1,0.72,0.48
DTWD2,0.04,0.0
DTX1,0.82,0.42
DTX2,0.84,0.62
DTX3,0.74,0.58
DTX3L,0.84,0.42
DTX4,0.1,0.08
DTYMK,0.4,0.02
DUOX2,0.04,0.04
DUOXA1,0.02,0.0
DUPD1,0.04,0.0
DUS1L,0.02,0.02
DUS2,0.26,0.12
DUS3L,0.7,0.16
DUS4L,0.02,0.04
DUSP1,0.92,0.2
DUSP10,0.66,0.32
DUSP11,0.2,0.1
DUSP12,0.4,0.48
DUSP13,0.1,0.04
DUSP14,0.5,0.08
DUSP15,0.24,0.06
DUSP16,0.74,0.24
DUSP19,0.16,0.18
DUSP2,0.44,0.02
DUSP21,0.1,0.08
DUSP22,0.44,0.1
DUSP23,0.64,0.42
DUSP26,0.3,0.14
DUSP3,0.7,0.16
DUSP4,0.36,0.02
DUSP5,0.22,0.02
DUSP6,0.54,0.26
DUSP7,0.32,0.0
DUSP8,0.06,0.06
DUSP9,0.54,0.06
DUT,0.68,0.22
DVL1,0.96,0.52
DVL1P1,0.02,0.0
DVL2,1.0,0.66
DVL3,0.98,0.86
DXO,0.46,0.3
DYDC1,0.3,0.4
DYDC2,0.18,0.02
DYM,0.28,0.02
DYNC1H1,1.0,0.08
DYNC1I1,0.78,0.36
DYNC1I2,0.78,0.3
DYNC1LI1,0.7,0.26
DYNC1LI2,0.54,0.28
DYNC2H1,0.28,0.12
DYNC2LI1,0.26,0.06
DYNLL1,1.0,0.34
DYNLL2,1.0,1.0
DYNLRB1,0.74,0.38
DYNLRB2,0.26,0.0
DYNLT1,0.76,0.3
DYNLT3,0.6,0.34
DYRK1A,0.88,0.28
DYRK1B,0.8,0.58
DYRK2,0.8,0.44
DYRK3,0.22,0.16
DYRK4,0.4,0.06
DYSF,0.82,0.64
DYX1C1,0.32,0.24
DZANK1,0.0,0.04
DZIP1,0.2,0.12
DZIP1L,0.06,0.02
DZIP3,0.96,0.74
E2F1,1.0,0.78
E2F2,0.7,0.54
E2F3,0.92,0.7
E2F4,1.0,0.8
E2F5,0.5,0.3
E2F6,0.96,0.7
E2F7,0.14,0.0
E2F8,0.12,0.02
E4F1,0.66,0.56
EAF1,0.46,0.4
EAF2,0.36,0.16
EAPP,0.5,0.12
EARS2,0.2,0.0
EBAG9,0.08,0.0
EBF1,0.26,0.1
EBF2,0.04,0.02
EBF3,0.1,0.04
EBF4,0.1,0.0
EBI3,0.24,0.3
EBLN2,0.42,0.22
EBNA1BP2,0.9,0.02
EBP,0.56,0.2
EBPL,0.02,0.04
ECD,0.52,0.12
ECE1,0.3,0.22
ECE2,0.24,0.0
ECEL1,0.02,0.02
ECH1,0.9,0.66
ECHDC1,0.34,0.06
ECHDC2,0.18,0.06
ECHS1,0.92,0.4
ECI1,0.26,0.04
ECI2,0.4,0.16
ECM1,0.4,0.24
ECSCR,0.12,0.02
ECSIT,0.86,0.44
ECT2,1.0,0.06
EDA,0.04,0.02
EDA2R,0.26,0.3
EDAR,0.2,0.18
EDARADD,0.22,0.06
EDC3,0.82,0.38
EDC4,0.92,0.4
EDEM1,0.5,0.34
EDEM2,0.02,0.0
EDEM3,0.14,0.0
EDF1,0.76,0.42
EDIL3,1.0,1.0
EDN1,0.28,0.3
EDN2,0.02,0.0
EDN3,0.02,0.0
EDNRA,0.48,0.2
EDNRB,0.26,0.1
EEA1,0.92,0.58
EED,1.0,0.9
EEF1A1,1.0,0.0
EEF1A2,0.94,0.22
EEF1B2,0.98,0.12
EEF1D,1.0,0.2
EEF1E1,0.76,0.36
EEF1G,1.0,1.0
EEF2,0.98,0.0
EEFSEC,0.1,0.02
EEPD1,0.06,0.0
EFCAB11,0.04,0.0
EFCAB14,0.06,0.0
EFCAB2,0.1,0.0
EFCAB4A,0.06,0.0
EFCAB4B,0.34,0.32
EFCAB5,0.04,0.0
EFCAB6,0.3,0.14
EFCC1,0.02,0.0
EFEMP1,0.68,0.46
EFEMP2,0.96,0.78
EFHC1,0.12,0.16
EFHC2,0.16,0.08
EFHD1,0.22,0.12
EFHD2,0.7,0.18
EFNA1,0.56,0.54
EFNA2,0.24,0.24
EFNA3,0.24,0.22
EFNA4,0.18,0.14
EFNA5,0.72,0.68
EFNB1,0.62,0.36
EFNB2,0.66,0.4
EFNB3,0.62,0.26
EFR3A,0.16,0.0
EFR3B,0.04,0.0
EFS,0.56,0.24
EFTUD1,0.36,0.22
EFTUD2,0.94,0.12
EGF,0.66,0.26
EGFL6,0.18,0.1
EGFL7,0.14,0.04
EGFL8,0.1,0.06
EGFLAM,0.22,0.0
EGFR,1.0,0.0
EGLN1,0.96,0.8
EGLN2,0.68,0.5
EGLN3,0.9,0.7
EGR1,1.0,0.0
EGR2,0.6,0.4
EGR3,0.0,0.04
EGR4,0.08,0.04
EHBP1,0.34,0.16
EHBP1L1,0.44,0.14
EHD1,0.92,0.58
EHD2,0.72,0.3
EHD3,0.2,0.1
EHD4,0.7,0.34
EHF,0.06,0.02
EHHADH,0.12,0.2
EHMT1,0.76,0.36
EHMT2,1.0,0.66
EI24,0.1,0.0
EID1,0.9,0.72
EID2,0.46,0.32
EID2B,0.3,0.18
EID3,0.62,0.46
EIF1,0.52,0.16
EIF1AD,0.26,0.02
EIF1AY,0.4,0.06
EIF1B,1.0,0.0
EIF2A,0.64,0.16
EIF2AK1,0.56,0.0
EIF2AK2,1.0,0.0
EIF2AK3,0.52,0.18
EIF2AK4,0.18,0.02
EIF2B1,0.78,0.06
EIF2B2,0.84,0.36
EIF2B3,0.94,0.46
EIF2B4,0.54,0.04
EIF2B5,0.66,0.14
EIF2D,0.2,0.04
EIF2S1,0.98,0.02
EIF2S2,0.96,0.22
EIF2S3,0.96,0.0
EIF3A,1.0,0.1
EIF3B,0.98,0.22
EIF3C,1.0,0.7
EIF3CL,0.86,0.08
EIF3D,1.0,0.78
EIF3E,1.0,0.76
EIF3F,1.0,0.66
EIF3G,1.0,0.2
EIF3H,0.98,0.84
EIF3I,1.0,0.02
EIF3J,0.96,0.6
EIF3K,1.0,0.72
EIF3L,0.98,0.3
EIF3M,0.92,0.66
EIF4A1,1.0,0.0
EIF4A2,0.98,0.52
EIF4A3,1.0,0.0
EIF4B,0.98,0.28
EIF4E,1.0,0.0
EIF4E2,0.78,0.52
EIF4E3,0.08,0.06
EIF4EBP1,0.98,0.76
EIF4EBP2,0.42,0.04
EIF4EBP3,0.54,0.14
EIF4ENIF1,0.58,0.22
EIF4G1,1.0,0.54
EIF4G2,0.9,0.3
EIF4G3,0.8,0.34
EIF4H,0.68,0.12
EIF5,0.84,0.24
EIF5A,0.9,0.0
EIF5A2,0.7,0.16
EIF5AL1,0.28,0.0
EIF5B,0.76,0.16
EIF6,1.0,0.0
ELAC2,0.88,0.3
ELANE,0.78,0.78
ELAVL1,1.0,0.16
ELAVL2,0.48,0.12
ELAVL3,0.34,0.14
ELAVL4,0.26,0.14
ELF1,0.82,0.4
ELF2,0.5,0.12
ELF3,0.9,0.32
ELF4,0.36,0.14
ELF5,0.26,0.16
ELFN1,0.06,0.0
ELFN2,0.14,0.0
ELK1,1.0,0.54
ELK3,0.38,0.08
ELK4,0.32,0.22
ELL,0.7,0.52
ELL2,0.62,0.44
ELL3,0.26,0.18
ELMO1,0.64,0.44
ELMO2,0.22,0.0
ELMOD1,0.04,0.06
ELMOD2,0.24,0.06
ELMSAN1,0.54,0.28
ELN,0.58,0.58
ELOF1,0.26,0.18
ELOVL1,0.46,0.14
ELOVL2,0.12,0.0
ELOVL3,0.06,0.04
ELOVL4,0.1,0.0
ELOVL5,0.14,0.06
ELOVL6,0.16,0.02
ELOVL7,0.0,0.02
ELP2,0.86,0.6
ELP3,0.86,0.52
ELP4,0.56,0.36
ELP5,0.36,0.2
ELP6,0.5,0.12
ELSPBP1,0.68,0.56
EMB,0.04,0.0
EMC1,0.52,0.12
EMC10,0.04,0.0
EMC2,0.34,0.06
EMC3,1.0,0.0
EMC4,0.2,0.0
EMC6,0.0,0.02
EMC7,0.48,0.06
EMC8,0.28,0.0
EMC9,0.1,0.0
EMCN,0.06,0.06
EMD,1.0,0.42
EME1,0.44,0.38
EMG1,0.64,0.04
EMID1,0.06,0.02
EMILIN1,0.5,0.4
EMILIN2,0.08,0.0
EMILIN3,0.02,0.0
EML1,0.14,0.02
EML2,0.1,0.0
EML3,0.52,0.12
EML4,0.22,0.08
EMP3,0.04,0.04
EMR2,0.02,0.0
EMS1,0.04,0.0
EMX1,0.24,0.1
EMX2,0.16,0.06
EN1,0.26,0.06
EN2,0.0,0.04
ENAH,0.78,0.42
ENC1,0.74,0.48
ENDOD1,0.04,0.0
ENDOG,0.28,0.08
ENDOU,0.02,0.0
ENDOV,0.38,0.08
ENG,0.78,0.56
ENGASE,0.1,0.0
ENKD1,0.82,0.68
ENKUR,0.12,0.0
ENO1,0.96,0.26
ENO2,0.84,0.4
ENO3,0.7,0.2
ENOPH1,0.22,0.08
ENOSF1,0.04,0.0
ENOX1,0.36,0.4
ENOX2,0.36,0.2
ENPEP,0.04,0.0
ENPP1,0.12,0.14
ENPP2,0.1,0.0
ENPP7,0.1,0.0
ENSA,0.42,0.32
ENTHD2,0.06,0.0
ENTPD1,0.16,0.04
ENTPD2,0.02,0.0
ENTPD4,0.06,0.0
ENTPD6,0.14,0.06
ENY2,1.0,1.0
EOMES,0.04,0.06
EP300,1.0,0.0
EP400,0.94,0.3
EPAS1,1.0,0.42
EPB41,0.98,0.98
EPB41L1,0.8,0.34
EPB41L2,0.66,0.54
EPB41L3,0.94,0.46
EPB41L4A,0.08,0.0
EPB41L4B,0.06,0.04
EPB41L5,1.0,1.0
EPB42,0.34,0.16
EPC1,0.72,0.68
EPC2,0.46,0.26
EPCAM,0.22,0.02
EPDR1,1.0,1.0
EPG5,0.04,0.02
EPHA1,0.28,0.1
EPHA2,0.94,0.72
EPHA3,0.62,0.46
EPHA4,0.88,0.66
EPHA5,0.14,0.06
EPHA6,0.02,0.04
EPHA7,0.54,0.44
EPHA8,0.28,0.08
EPHB1,0.74,0.34
EPHB2,0.76,0.34
EPHB3,0.66,0.36
EPHB4,0.18,0.0
EPHB6,0.24,0.12
EPHX1,0.52,0.1
EPHX2,0.14,0.14
EPM2A,0.72,0.38
EPM2AIP1,0.36,0.02
EPN1,0.94,0.56
EPN2,0.48,0.2
EPN3,0.24,0.3
EPO,0.58,0.42
EPOR,1.0,0.88
EPPK1,0.76,0.18
EPR1,0.06,0.0
EPRS,1.0,0.4
EPS15,1.0,0.46
EPS15L1,0.76,0.3
EPS8,1.0,0.84
EPS8L1,0.34,0.26
EPS8L2,0.3,0.08
EPS8L3,0.18,0.14
EPT1,0.28,0.0
EPX,0.14,0.0
ERAL1,0.26,0.02
ERAP1,0.22,0.06
ERAP2,0.06,0.08
ERAS,0.1,0.1
ERBB2,1.0,0.16
ERBB2IP,0.98,0.7
ERBB3,1.0,0.72
ERBB4,1.0,0.62
ERC1,0.84,0.2
ERC2,0.7,0.52
ERCC1,0.88,0.9
ERCC2,0.96,0.4
ERCC3,1.0,0.94
ERCC4,0.88,0.7
ERCC5,0.7,0.54
ERCC6,0.98,0.64
ERCC6L,0.46,0.16
ERCC6L2,0.06,0.0
ERCC8,0.98,0.68
EREG,0.02,0.04
ERF,0.3,0.0
ERG,0.9,0.32
ERGIC1,0.54,0.04
ERGIC2,0.34,0.0
ERGIC3,0.4,0.04
ERH,0.9,0.42
ERI1,0.38,0.0
ERI2,0.02,0.0
ERI3,0.26,0.08
ERICH1,0.06,0.0
ERICH2,0.02,0.04
ERLEC1,0.54,0.4
ERLIN1,0.56,0.26
ERLIN2,0.74,0.48
ERMAP,0.04,0.02
ERMN,0.16,0.0
ERMP1,0.14,0.0
ERN1,0.66,0.42
ERO1L,0.8,0.38
ERO1LB,0.52,0.18
ERP27,0.06,0.02
ERP29,0.4,0.1
ERP44,0.66,0.36
ERRFI1,0.78,0.22
ERVFRD-1,0.06,0.0
ERVK-6,0.04,0.0
ERVV-1,0.04,0.0
ERVW-1,0.02,0.02
ESCO1,0.32,0.16
ESCO2,0.38,0.14
ESD,0.34,0.06
ESF1,0.46,0.04
ESM1,0.02,0.02
ESPL1,0.72,0.38
ESPN,0.02,0.04
ESR1,1.0,0.0
ESR2,1.0,0.36
ESRP2,0.06,0.0
ESRRA,0.94,0.66
ESRRB,0.28,0.24
ESRRG,0.82,0.8
ESX1,0.1,0.06
ESYT1,0.58,0.02
ESYT2,0.5,0.1
ESYT3,0.08,0.02
ETAA1,0.04,0.0
ETF1,0.84,0.3
ETFA,1.0,1.0
ETFB,0.4,0.18
ETFDH,0.14,0.0
ETHE1,0.58,0.1
ETNK1,0.48,0.0
ETNK2,0.3,0.06
ETNPPL,0.1,0.02
ETS1,1.0,0.64
ETS2,0.92,0.54
ETV1,0.68,0.24
ETV2,0.1,0.08
ETV3,0.44,0.02
ETV4,0.64,0.28
ETV5,0.46,0.34
ETV6,0.86,0.42
ETV7,0.08,0.12
EVA1A,0.44,0.24
EVA1C,0.06,0.0
EVC2,0.06,0.04
EVI2A,0.08,0.06
EVI5,0.44,0.36
EVI5L,0.16,0.24
EVL,0.68,0.26
EVPL,0.42,0.16
EVX1,0.04,0.06
EWSR1,1.0,0.0
EXD1,0.02,0.0
EXD2,0.14,0.0
EXD3,0.28,0.16
EXO1,0.96,0.6
EXO5,0.08,0.06
EXOC1,0.76,0.4
EXOC2,0.8,0.58
EXOC3,0.46,0.2
EXOC4,0.76,0.58
EXOC5,0.52,0.26
EXOC6,0.46,0.16
EXOC6B,0.24,0.02
EXOC7,0.9,0.64
EXOC8,0.86,0.72
EXOG,0.06,0.0
EXOSC1,1.0,0.72
EXOSC10,0.9,0.54
EXOSC2,0.88,0.5
EXOSC3,0.86,0.34
EXOSC4,0.98,0.66
EXOSC5,0.92,0.58
EXOSC6,0.82,0.44
EXOSC7,0.82,0.56
EXOSC8,0.88,0.64
EXOSC9,0.78,0.3
EXPH5,0.14,0.08
EXT1,0.36,0.1
EXT2,0.74,0.44
EXTL1,0.1,0.0
EXTL3,0.18,0.14
EYA1,0.26,0.1
EYA2,0.42,0.22
EYA3,0.16,0.02
EYA4,0.04,0.0
EZH1,0.48,0.5
EZH2,1.0,0.66
EZR,1.0,0.68
F10,0.56,0.32
F11,0.18,0.2
F11R,0.64,0.28
F12,0.46,0.12
F13A1,0.44,0.34
F13B,0.16,0.04
F2,0.76,0.52
F2R,0.64,0.58
F2RL1,0.58,0.12
F2RL2,0.4,0.06
F3,0.36,0.18
F5,0.32,0.12
F7,0.32,0.26
F8,0.52,0.34
F8A3,0.18,0.02
F9,0.16,0.18
FA2H,0.04,0.06
FAAH,0.08,0.02
FAAH2,0.1,0.0
FABP1,0.16,0.06
FABP2,0.12,0.06
FABP3,0.38,0.3
FABP4,0.66,0.24
FABP5,0.7,0.2
FABP9,0.08,0.0
FADD,1.0,1.0
FADS1,0.54,0.02
FADS2,0.4,0.1
FADS3,0.12,0.0
FADS6,0.06,0.02
FAF1,1.0,0.32
FAF2,0.96,0.38
FAH,0.16,0.0
FAHD1,0.12,0.14
FAHD2A,0.32,0.0
FAHD2B,0.1,0.0
FAIM,0.12,0.0
FAIM2,0.04,0.04
FAIM3,0.14,0.04
FAM101B,0.22,0.14
FAM103A1,0.5,0.14
FAM105A,0.12,0.0
FAM105B,0.6,0.2
FAM107A,0.86,0.68
FAM107B,0.04,0.02
FAM109A,0.1,0.04
FAM109B,0.06,0.16
FAM110A,0.38,0.04
FAM110B,0.04,0.0
FAM110C,0.14,0.0
FAM111A,0.28,0.0
FAM111B,0.34,0.02
FAM114A1,0.46,0.14
FAM114A2,0.24,0.0
FAM115A,0.7,0.26
FAM117B,0.04,0.04
FAM118A,0.06,0.0
FAM118B,1.0,1.0
FAM120A,0.38,0.0
FAM120B,0.3,0.04
FAM120C,0.04,0.06
FAM122A,0.06,0.04
FAM122B,0.16,0.04
FAM122C,0.04,0.0
FAM124A,0.26,0.2
FAM124B,0.54,0.44
FAM126B,0.04,0.0
FAM127A,0.52,0.0
FAM127B,0.54,0.04
FAM127C,0.16,0.0
FAM129A,0.36,0.04
FAM129B,0.68,0.42
FAM131A,0.04,0.06
FAM131B,0.1,0.04
FAM131C,0.46,0.24
FAM133B,0.02,0.0
FAM134A,0.14,0.1
FAM134B,0.08,0.02
FAM134C,0.14,0.0
FAM135A,0.02,0.0
FAM135B,0.06,0.02
FAM136A,0.4,0.08
FAM13A,0.08,0.0
FAM13B,0.08,0.02
FAM13C,0.06,0.02
FAM153A,0.06,0.02
FAM154A,0.06,0.02
FAM156B,0.06,0.0
FAM160A2,0.18,0.2
FAM160B1,0.14,0.06
FAM161A,0.1,0.0
FAM161B,0.06,0.0
FAM162A,0.52,0.26
FAM168A,0.12,0.04
FAM168B,0.06,0.02
FAM169A,1.0,1.0
FAM171A1,0.1,0.04
FAM171B,0.08,0.1
FAM172A,0.06,0.0
FAM173A,0.46,0.26
FAM174A,0.04,0.02
FAM174B,0.02,0.0
FAM175A,0.96,0.78
FAM175B,0.84,0.66
FAM177A1,0.12,0.0
FAM178A,0.18,0.02
FAM178B,0.12,0.1
FAM179B,0.06,0.0
FAM184A,0.18,0.0
FAM184B,0.06,0.0
FAM188A,0.42,0.0
FAM189A2,0.22,0.06
FAM189B,0.16,0.08
FAM192A,0.46,0.1
FAM193A,0.02,0.0
FAM193B,0.2,0.2
FAM195A,0.12,0.1
FAM195B,0.28,0.0
FAM199X,0.04,0.0
FAM19A4,0.06,0.0
FAM19A5,0.06,0.02
FAM200A,0.02,0.0
FAM203A,0.6,0.5
FAM204A,0.06,0.06
FAM206A,0.02,0.0
FAM207A,0.1,0.0
FAM208A,0.3,0.08
FAM208B,0.34,0.12
FAM20B,0.04,0.0
FAM20C,0.3,0.22
FAM210B,0.06,0.0
FAM212A,0.04,0.0
FAM212B,0.1,0.02
FAM213A,0.12,0.0
FAM213B,0.3,0.04
FAM214A,0.04,0.02
FAM214B,0.22,0.32
FAM219A,0.24,0.14
FAM21A,0.34,0.06
FAM21B,0.14,0.08
FAM21C,0.5,0.32
FAM227B,0.02,0.0
FAM26E,0.02,0.0
FAM27E1,0.02,0.02
FAM27E3,0.3,0.22
FAM32A,0.3,0.04
FAM35A,0.02,0.0
FAM3A,0.08,0.0
FAM3B,0.04,0.08
FAM3C,0.34,0.18
FAM45A,0.08,0.06
FAM46A,0.68,0.5
FAM46B,0.3,0.36
FAM46C,0.46,0.3
FAM46D,0.14,0.1
FAM47B,0.04,0.0
FAM49B,0.42,0.02
FAM50A,0.14,0.0
FAM50B,0.36,0.28
FAM53A,0.06,0.0
FAM53B,0.06,0.0
FAM53C,0.14,0.02
FAM57A,0.06,0.0
FAM58A,0.04,0.02
FAM60A,0.2,0.2
FAM63A,0.24,0.04
FAM63B,0.22,0.0
FAM64A,0.14,0.1
FAM65A,0.22,0.06
FAM65B,0.16,0.1
FAM69A,0.04,0.02
FAM69B,0.02,0.02
FAM71C,0.14,0.04
FAM71E2,0.14,0.02
FAM71F1,0.06,0.02
FAM72A,0.04,0.0
FAM72B,0.02,0.0
FAM72D,0.02,0.0
FAM76B,0.18,0.06
FAM78A,0.06,0.0
FAM81A,0.1,0.0
FAM83B,0.04,0.0
FAM83C,0.06,0.02
FAM83D,0.5,0.06
FAM83F,0.02,0.0
FAM83G,0.14,0.04
FAM83H,0.28,0.0
FAM84B,0.04,0.02
FAM86A,0.32,0.06
FAM86B1,0.04,0.0
FAM86B2,0.56,0.1
FAM86C1,0.08,0.1
FAM8A1,0.12,0.08
FAM90A1,0.2,0.06
FAM90A17P,0.02,0.04
FAM91A1,0.22,0.0
FAM92A1,0.14,0.08
FAM96A,0.22,0.02
FAM96B,0.52,0.34
FAM98A,0.46,0.0
FAM98B,1.0,1.0
FAM9A,0.22,0.12
FAN1,0.72,0.44
FANCA,1.0,0.92
FANCB,0.52,0.66
FANCC,1.0,0.9
FANCD2,0.98,0.78
FANCD2OS,0.02,0.0
FANCE,0.92,0.94
FANCF,0.98,0.98
FANCG,1.0,0.98
FANCI,0.9,0.66
FANCL,1.0,0.94
FANCM,0.96,0.9
